KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
BORA	2.609	1.236	4.911	2.285	2.9	2.578	3.723	3.534	1.487	2.323	1.978	1.894	1.461	4.74	2.041	2.401	5.795	4.37	2.437	1.767	1.682	1.858	1.657	1.424	2.103
BPGM	8.893	4.076	20.491	6.349	6.589	7.081	8.032	9.377	4.04	4.482	7.873	21.408	12.148	12.753	19.505	14.504	14.428	36.089	10.437	2.638	5.839	6.126	5.273	4.568	5.009
BPHL	8.92	5.432	12.65	8.643	6.111	9.168	7.361	11.755	3.068	3.823	2.442	1.53	2.332	6.746	8.33	9.231	6.435	10.476	4.17	3.372	4.592	3.985	5.188	2.248	3.377
BPI	0.158	0.104	0.122	0.077	0.141	0.279	0.105	0.348	0	0.028	0.06	0.02	0.078	0.129	0.077	0	0.048	0.176	0.362	0.078	0.175	0.246	0.19	0.043	0.138
BPIFA1	0.021	0	0.029	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0.028	0	0	0
BPIFA2	0	0	0	0.023	0	0.022	0	0.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPIFA3	0.026	0.039	0.095	0.017	0.021	0.041	0.021	0.062	0.013	0.034	0.033	0.077	0.046	0.021	0.061	0	0.008	0.117	0.121	0.014	0.006	0.036	0.022	0.01	0.034
BPIFB1	0.08	0.082	0.178	0.089	0.109	0.108	0.095	0.13	0.042	0.026	0.052	0.037	0.04	0.082	0.027	0.13	0.062	0.057	0.109	0.044	0.037	0.119	0.051	0.022	0.006
BPIFB2	0.02	0	0	0	0.004	0	0	0.007	0	0	0	0	0	0	0	0.171	0	0.017	0.011	0	0	0	0	0	0.005
BPIFB3	0	0	0	0.007	0.005	0	0	0.029	0	0	0	0	0	0.017	0	0	0.025	0	0.008	0	0	0	0	0	0
BPIFB4	0	0	0	0	0.004	0	0	0.006	0	0	0	0	0.005	0.011	0	0	0.073	0	0.023	0	0	0	0	0	0
BPIFB6	0	0	0	0	0	0.007	0	0.022	0	0	0	0.01	0	0	0	0	0	0	0.035	0	0	0	0	0	0
BPIFC	0.045	0.016	0.17	0.048	0.016	0.094	0.166	0.197	0	0.02	0	0.104	0.044	0	0.085	0	0.182	0.8	0.016	0.028	0.009	0	0	0.053	0
BPNT1	9.334	7.726	14.155	10.082	6.395	10.096	10.136	13.663	6.833	7.448	8.216	7.007	5.315	14.929	12.378	14.192	13.113	14.591	6.314	5.476	5.934	5.911	8.791	5.382	5.538
BPTF	48.821	35.47	65.782	46.77	35.273	57.826	37.383	69.232	21.761	23.584	23.901	21.329	22.617	33.891	48.018	46.266	39.926	49.404	25.307	28.857	25.938	25.152	27.446	16.287	17.544
BPY2	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0
BPY2B	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0.011	0	0
BPY2C	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0.011	0	0
BRAF	13.706	10.497	19.283	15.927	10.59	16.217	12.996	21.964	7.919	8.131	9.105	8.17	8.071	16.301	14.663	16.813	11.544	23.18	9.086	14.567	8.849	9.055	14.424	5.973	7.622
BRAP	9.664	6.313	13.547	10.004	7.168	10.471	9.484	12.103	4.547	5.035	4.044	5.634	4.241	13.531	12.431	13.411	12.837	16.501	5.482	6.136	6.557	5.987	7.274	4.221	5.242
BRAT1	4.451	2.994	6.647	3.239	2.425	3.672	2.213	2.344	1.357	1.663	1.588	2.025	2.912	6.054	6.863	6.936	6.493	8.497	1.088	2.601	2.329	1.844	2.675	1.083	2.262
BRCA1	6.413	4.724	4.43	6.058	3.076	4.604	5.441	7.973	1.094	3.279	4.543	3.045	2.89	5.567	3.261	5.397	5.257	6.605	3.613	2.354	2.062	2.405	1.55	2.114	3.01
BRCA2	3.381	2.398	2.804	4.529	3.028	3.053	5.214	6.255	1.359	2.532	2.53	3.168	2.249	4.922	3.136	2.937	3.157	6.05	2.919	2.766	1.416	1.226	1.883	1.759	2.049
BRCC3	8.565	6.48	12.464	9.987	6.648	11.619	9.206	12.696	4.274	4.687	5.249	4.054	3.45	13.458	10.811	12.38	11.139	13.468	5.975	3.972	3.33	5.083	3.81	3.853	3.802
BRD1	12.347	8.469	15.805	16.512	8.455	18.161	8.469	14.541	5.787	4.471	4.216	4.333	4.198	18	16.419	15.731	16.003	24.726	4.598	10.232	7.385	6.297	11.058	3.892	4.84
BRD2	61.133	36.65	79.057	51.144	45	62.213	46.912	62.374	23.939	24.402	20.843	41.751	27.117	92.29	74.283	90.099	92.777	103.699	31.563	55.562	34.15	28.63	56.128	27.217	29.057
BRD3	5.442	4.104	8.979	4.444	3.847	6.083	2.495	5.191	1.638	2.098	1.737	1.254	1.381	6.173	9.105	6.518	6.343	7.645	1.355	2.667	2.208	2.411	2.308	1.796	1.59
BRD4	9.962	4.957	12.512	8.289	5.455	7.879	5.592	6.209	1.746	2.345	2.178	3.57	3.649	11.193	12.742	8.529	9.417	19.824	3.084	5.887	3.85	3.222	6.091	2.254	2.618
BRD7	36.887	27.062	57.445	40.68	30.116	46.173	37.308	54.67	21.464	25.071	17.459	21.839	17.015	64.012	46.571	64.647	58.708	71.494	19.125	32.374	22.772	19.154	37.392	24.01	22.679
BRD8	23.121	14.018	34.387	18.924	14.535	21.585	18.698	19.975	5.8	8.782	8.949	7.626	8.937	12.369	20.848	19.206	18.099	24.968	14.995	9.607	8.47	12.255	11.227	8.062	9.829
BRD9	13.149	7.803	17.707	13.15	8.515	15.167	8.677	12.582	3.316	4.284	3.944	4.864	5.625	15.492	13.44	11.852	11.838	20.459	5.792	8.532	7.303	5.673	8.573	3.347	4.058
BRDT	0.15	0.314	0.206	0.088	0.12	0.161	0.085	0.374	0	0.033	0.34	0.089	0	0.171	0.022	0.168	0.108	0.1	0.125	0.091	0	0.081	0.012	0.023	0.028
BRE	23.728	18.705	33.805	31.02	19.206	31.102	26.761	43.458	18.065	15.882	13.845	13.392	10.951	24.256	24.209	30.16	22.512	25.27	12.976	16.789	19.242	16.448	22.811	12.446	14.417
BRF1	7.345	6.242	10.015	8.06	5.7	8.824	4.35	5.38	2.739	2.784	1.973	2.511	3.347	8.14	8.233	9.509	7.045	11.264	2.401	4.332	4.856	3.455	5.669	2.321	3.213
BRF2	3.795	2.346	5.075	2.661	2.473	3.004	2.485	3.267	1.411	1.428	1.235	1.426	1.85	5.654	4.555	4.214	5.066	6.317	2.427	2.998	2.371	2.138	1.524	1.283	1.989
BRI3	15.116	13.3	26.317	15.173	16.592	15.959	16.481	18.328	7.528	7.847	8.682	14.616	19.008	55.77	48.776	27.926	31.599	43.215	31.285	11.041	11.724	12.256	11.454	6.361	11.65
BRI3BP	4.995	3.618	6.451	5.253	3.348	5.987	3.87	6.55	1.949	2.113	2.173	1.475	1.37	7.505	3.93	4.3	4.843	6.265	2.118	1.784	1.969	1.807	2.912	1.434	2.064
BRICD5	0.733	0.58	1.364	0.76	1.09	1.2	0.488	0.525	0.136	0.267	0.19	0.232	0.539	0.519	1.629	0.494	0.768	0.814	0.267	0.296	0.889	0.305	0.279	0.171	0.637
BRINP1	2.329	0.671	4.16	0.332	0.52	0.158	1.716	0.346	0.054	0.174	0.442	0.278	0.326	0.213	2.515	1.124	0.665	1.606	0.261	1.302	0.302	0.209	0.192	0.224	0.296
BRINP2	0.02	0.028	0.032	0.03	0.002	0.044	0.045	0.291	0.008	0.013	0.09	0.01	0	0.028	0.007	0.033	0.005	0.038	0	0	0.009	0	0.005	0.013	0.013
BRINP3	0	0	0	0.004	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0.006	0	0
BRIP1	4.125	2.745	4.379	5.287	2.868	2.113	4.511	6.116	1.071	2.551	1.936	3.523	3.523	5.21	3.081	3.025	4.201	7.83	4.046	2.748	1.793	2.626	1.396	1.629	1.918
BRIX1	12.238	8.95	16.97	14.746	9.722	16.62	14.244	19.301	10.887	9.242	12.25	9.938	8.532	32.887	15.176	29.166	23.728	34.726	6.484	12.17	8.713	8.729	11.626	6.811	9.441
BRK1	36.854	24.407	65.626	34.574	26.576	39.438	39.182	54.464	22.011	25.042	23.449	24.041	20.881	64.817	58.972	64.43	61.339	73.682	26.682	24.647	24.778	23.757	24.005	22.349	26.936
BRMS1	17.871	8.74	28.929	10.943	9.187	13.042	13.973	15.717	6.812	7.227	7.29	10.439	8.265	23.704	17.919	25.247	24.375	30.62	6.801	12.094	9.38	7.08	10.053	6.689	9.17
BRMS1L	5.6	2.942	7.044	4.738	3.477	5.045	4.691	6.648	2.029	3.082	4.304	2.133	2.538	6.481	6.28	4.674	5.831	8.988	2.796	3.36	2.462	3.331	3.562	1.578	1.785
BROX	32.597	25.369	46.24	43.269	30.325	41.96	40.347	57.241	25.616	22.274	22.383	18.893	13.597	59.082	57.478	54.411	52.407	60.448	22.726	21.01	20.299	21.954	23.045	19.671	18.666
BRPF1	5.312	3.002	6.452	4.729	3.452	5.083	3.399	4.236	1.827	1.738	1.543	2.399	2.979	7.084	6.037	6.27	5.975	8.906	2.65	4.308	2.81	2.311	4.262	1.549	2.337
BRPF3	6.703	3.685	7.235	5.511	3.523	7.302	3.706	6.683	2	2.161	1.709	2.147	2.82	5.555	7.308	5.773	4.884	9.923	2.594	3.773	3.292	2.545	3.574	2.031	2.049
BRS3	0.053	0.007	0	0.019	0.027	0.031	0.024	0.055	0	0.011	0.052	0	0	0.012	0.045	0.021	0.043	0.016	0.043	0	0.02	0.027	0	0.004	0.005
BRSK1	0.574	0.037	0.095	0.027	0.099	0.255	0.103	0.175	0.048	0.134	0.046	0.179	0.211	0.883	1.196	0.989	0.592	0.554	0.392	0.293	0.221	0.294	0.083	0.061	0.203
BRSK2	0.495	0.368	0.89	0.348	0.472	0.546	0.248	0.27	0.054	0.106	0.077	0.113	0.079	0.659	0.542	0.384	0.422	0.944	0.189	0.371	0.168	0.195	0.135	0.086	0.091
BRWD1	41.17	30.334	65.963	57.669	35.546	56.639	52.329	68.309	34.592	25.221	28.239	27.248	27.282	48.503	45.336	49.265	37.263	58.044	31.541	28.846	37.001	34.838	43.74	21.034	23.043
BRWD3	10.224	8.549	15.678	14.412	10.019	15.558	12.177	18.047	6.815	6.858	7.249	7.02	6.94	14.495	13.558	10.276	12.084	18.067	7.14	10.896	7.925	8.298	12.423	4.93	6.807
BSCL2	5.597	1.369	8.043	2.175	3.734	5.268	5.282	3.411	2.95	7.066	14.089	14.101	1.727	4.886	48.619	7.398	35.763	58.997	1.712	3.164	2.3	3.76	9.951	14.704	1.875
BSDC1	22.725	13.461	30.654	21.903	16.055	23.451	16.606	23.258	8.563	8.435	6.789	8.121	7.172	21.773	22.843	23.576	23.336	28.351	9.504	12.345	10.975	9.255	14.927	7.786	8.91
BSG	72.791	37.046	122.234	44.458	39.628	46.346	37.662	48.871	20.001	27.291	18.955	34.055	31.057	124.091	87.142	90.392	128.975	144.045	29.323	42.773	34.543	22.854	41.628	26.858	35.034
BSN	0.077	0.012	0.076	0.044	0.004	0.029	0.04	0.038	0.011	0.044	0.005	0.004	0	0.087	0.037	0.103	0.043	0.009	0.003	0.037	0.02	0.002	0.008	0.021	0.019
BSND	0.026	0.013	0.004	0.015	0.016	0.04	0.031	0.052	0.006	0.029	0.022	0.007	0.034	0.021	0.033	0.023	0.01	0.019	0.032	0.027	0.011	0.02	0.026	0.004	0.009
BSPH1	0	0	0.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BSPRY	1.714	1.115	4.033	1.429	1.028	1.743	1.027	1.284	0.909	1.641	0.578	1.191	1.157	3.356	3.254	2.942	3.303	3.369	0.566	1.573	1.057	1.405	1.44	1.254	1.217
BST1	3.411	3.683	5.002	2.23	3.236	2.509	3.695	3.328	1.559	1.484	2.586	2.295	3.38	5.812	6.804	6.756	4.911	7.334	4.629	2.287	2.036	3.903	1.186	1.127	1.987
BST2	0.602	0.927	2.299	0.1	7.079	1.335	0.553	0.162	0.38	7.371	1.071	30.152	16.333	21.421	36.795	1.391	19.033	12.595	10.45	0.617	1.798	0.808	0	11.532	3.572
BSX	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTAF1	24.337	19.693	34.491	38.443	22.645	30.886	23.665	43.199	13.468	12.256	15.063	15.223	13.882	32.351	25.403	26.846	22.361	43.709	18.446	23.53	21.119	19.466	28.995	8.528	12.465
BTBD1	41.032	39.265	54.842	65.025	32.623	62.071	50.444	79.083	32.575	32.837	30.782	24.796	16.604	83.379	48.7	68.774	67.418	77.117	22.149	36.856	29.883	25.775	47.351	23.052	29.34
BTBD10	16.409	11.448	28.788	14.147	14.648	16.834	21.401	19.925	10.833	11.361	14.227	18.412	14.987	31.95	30.343	27.511	29.32	38.487	16.152	16.303	12.465	12.867	11.876	8.743	10.581
BTBD11	4.288	1.907	10.815	3.303	3.129	4.095	2.795	3.877	0.671	3.367	0.678	2.882	2.545	9.443	5.034	4.346	6.604	10.883	2.251	3.332	2.733	2.306	2.392	2.19	1.399
BTBD16	4.194	2.712	3.846	1.488	1.542	10.251	5.384	10.335	0.73	0.927	0.637	0.334	0.276	0.935	1.952	1.183	2.055	0.838	0.3	0.753	5.162	1.006	2.278	2.292	0.622
BTBD17	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0.008	0.007	0	0	0.008	0
BTBD18	2.916	1.791	3.065	3.218	1.835	3.36	1.701	4.527	0.801	0.815	0.649	0.993	1.031	2.411	1.127	1.174	1.046	3.635	1.188	2.597	1.454	1.858	3.288	0.491	0.694
BTBD19	0.137	0.712	0.685	0.056	0.244	0.305	0.214	0.064	0.078	0.131	0.544	0.749	0.411	2.039	1.734	0.512	2.299	1.834	0.351	1.153	0.552	0.66	1.238	0.026	0.482
BTBD2	11.764	7.492	16.091	11.332	9.578	10.438	5.541	8.84	4.474	5.031	3.583	4.691	5.087	14.802	18.177	18.756	16.989	19.823	4.192	7.289	6.404	5.311	5.551	3.927	4.534
BTBD3	16.55	11.454	21.826	21.123	13.917	19.179	14.805	26.061	9.591	8.633	9.864	6.21	6.151	16.902	14.162	19.132	15.767	25.383	7.378	6.739	12.276	9.768	16.785	7.083	10.823
BTBD6	17.344	10.25	25.324	15.84	11.443	15.57	11.513	17.726	8.161	7.518	6.609	8.422	7.891	20.998	20.255	25.666	22.135	31.623	6.572	10.972	9.31	7.912	13.537	6.403	11.567
BTBD7	12.49	8.944	17.011	11.856	8.634	15.407	11.607	18.399	4.71	4.651	5.787	5.936	5.225	12.092	12.111	11.552	10.797	19.038	7.118	7.938	6.959	6.354	8.677	3.554	4.383
BTBD8	2.152	2.044	2.568	3.518	1.81	3.121	1.794	3.653	0.657	1.033	1.418	0.382	0.789	0.808	1.835	0.862	1.047	1.236	2.1	0.228	1.194	1.095	0.799	0.638	0.768
BTBD9	9.247	7.122	11.497	11.304	7.492	12.993	10.394	15.251	5.115	5.893	5.104	6.1	4.155	13.352	10.174	10.929	9.3	16.806	5.409	9.622	6.351	6.156	11.024	4.303	5.633
BTC	1.194	0.653	1.762	0.742	0.7	0.997	1.494	0.781	0.569	0.733	0.46	0.717	0.403	1.252	1.257	2.513	1.4	1.433	0.711	0.342	0.364	0.28	0.243	0.573	0.398
BTD	10.79	7.432	13.871	13.197	8.009	11.534	9.034	15.17	4.762	3.744	4.157	3.4	3.003	9.03	10.85	10.51	11.759	12.644	4.658	6.106	6.822	5.476	6.235	3.632	4.504
BTF3	218.138	141.279	349.052	221.98	191.259	215.386	259.082	295.619	152.202	205.459	158.627	179.074	133.918	519.533	399.85	516.992	495.202	558.102	170.093	211.346	162.999	142.515	162.372	144.784	157.558
BTF3L4	34.367	30.832	42.735	49.354	26.561	48.086	38.746	66.923	25.014	24.171	25.472	20.974	14.496	64.242	43.221	46.801	47.375	59.941	20.731	23.347	22.263	18.8	33.1	16.701	19.597
BTG1	25.235	24.927	54.144	31.643	37.224	34.717	23.705	34.256	13.43	23.209	14.842	35.45	22.253	115.333	56.23	27.383	60.834	132.102	46.444	33.667	16.009	14.73	30.502	20.086	15.791
BTG2	9.505	22.196	21.829	8.119	23.248	20.725	15.24	16.633	8.198	10.319	6.952	14.943	8.503	52.546	22.358	19.763	40.898	30.036	14.547	72.581	8.164	4.722	57.164	9.709	7.765
BTG3	15.123	10.055	32.17	13.861	14.417	15.226	18.468	17.539	9.724	18.534	11.885	16.664	9.681	43.004	31.419	21.586	38.498	48.531	17.325	18.302	11.641	10.072	17.581	10.306	8.49
BTG4	0.02	0.033	0.241	0	0.052	0	0.02	0.235	0	0.094	0.037	0.057	0	0	0.046	0	0	0.161	0.057	0	0.081	0	0.056	0	0
BTK	0.792	1.89	2.065	0.461	3.734	0.66	0.65	0.898	0.262	1.251	0.536	4.157	6.083	3.567	3.974	1.2	1.415	4.446	9.158	0.386	1.086	0.607	0.084	0.449	2.773
BTLA	0.047	0.169	0.179	0.036	0.292	0.089	0.077	0.21	0.01	0.386	0.052	1.317	1.118	0.336	0.391	0.049	0.104	0.238	1.177	0.149	0.338	0.321	0	0.206	0.349
BTN1A1	0.114	0.109	0.079	0.042	0.103	0.091	0.096	0.134	0.037	0.047	0.041	0.078	0.055	0.011	0.025	0.019	0.026	0.109	0.041	0.051	0.061	0.049	0.024	0.033	0.072
BTN2A1	5.863	3.204	7.597	4.956	5.725	5.618	5.541	5.335	2.662	3.025	2.531	3.859	5.279	7.625	10.273	8.141	6.306	9.653	5.242	3.766	4.517	4.49	3.058	2.545	2.756
BTN2A2	2.297	1.45	4.61	2.22	5.429	1.215	2.995	1.662	0.67	1.431	1.269	4.327	3.181	6.599	7.573	3.568	3.114	6.016	4.075	1.983	2.945	2.494	1.659	1.623	1.799
BTN3A1	7.52	4.332	10.299	7.838	22.054	7.314	5.832	5.473	4.18	8.733	3.823	15.759	6.398	21.452	37.913	8.487	13.068	8.812	8.444	2.7	8.14	4.238	2.629	9.385	4.586
BTN3A2	7.173	2.767	9.541	7.014	25.286	7.054	3.182	4.864	4.061	8.849	4.276	13.511	6.998	16.771	39.393	8.838	16.481	11.842	6.356	2.333	7.783	3.313	2.459	8.059	4.479
BTN3A3	7.874	4.277	9.762	5.633	21.978	5.012	5.406	5.533	2.697	8.648	3.166	14.184	5.874	18.708	41.488	6.305	12.4	8.264	8.836	2.223	7.625	4.315	2.143	9.448	3.884
BTNL2	0.063	0.068	0.074	0.007	0.072	0.04	0.062	0.078	0	0.047	0.035	0	0.077	0.065	0.032	0.117	0.025	0	0.015	0	0.083	0	0	0.08	0
BTNL3	0	0.003	0	0	0	0	0	0.044	0	0	0	0.006	0.071	0	0.01	0	0.008	0.037	0.005	0	0	0	0	0	0.034
BTNL8	0.027	0.012	0	0.016	0.008	0.052	0.01	0.111	0	0.021	0	0.075	0.2	0.024	0	0.042	0.017	0.187	0.203	0	0	0.01	0	0.02	0.019
BTNL9	0.281	0.237	0.082	0.156	0.053	0.168	0.041	0.19	0.056	0.054	0.015	0.081	0.081	0.056	0.028	0.05	0.1	0.26	0.148	0.11	0.092	0.104	0.059	0.005	0.038
BTRC	20.69	14.891	30.949	23.475	20.107	25.524	25.253	26.856	10.981	10.462	10.727	11.276	7.619	26.143	22.758	20.371	19.713	37.265	12.403	12.203	11.435	13.108	15.539	9.425	7.386
BUB1	4.244	2.31	4.013	4.013	3.511	2.521	6.405	5.308	6.372	2.068	1.577	2.802	2.593	5.003	3.123	5.906	7.511	7.768	3.403	3.454	2.018	1.411	1.972	1.642	3.045
BUB1B	4.42	2.155	3.477	4.212	3.187	3.354	5.366	6.198	1.037	1.853	2.03	2.949	2.695	5.79	1.66	6.411	6.392	5.062	2.316	4.699	2.118	1.869	2.199	1.322	2.274
BUB3	28.397	19.029	47.186	28.639	24.931	32.706	30.936	39.793	16.169	19.645	17.259	24.959	17.621	52.091	39.759	43.726	52.525	62.13	22.194	23.408	18.364	19.44	24.426	16.739	20.553
BUD13	4.963	3.093	6.746	5.443	3.84	5.669	4.741	7.11	2.893	2.716	2.301	3.512	2.99	7.353	5.902	7.237	5.938	6.844	2.834	4.079	3.792	4.03	5.146	2.319	3.349
BUD31	31.384	19.415	48.277	29.741	22.976	28.697	32.213	43.979	20.93	23.465	21.966	28.419	23.937	60.939	50.093	74.279	58.897	73.243	21.184	32.086	26.228	18.081	32.45	22.414	26.808
BVES	0.155	0.642	0.91	0.29	0.783	0.603	0.601	0.538	0.303	0.098	0.398	0.74	0.481	0.535	1.759	1.113	1.371	1.377	0.592	0.162	0.454	0.805	0.277	0.144	0.319
BX004987.4	0.215	0.1	0.181	0.017	0.099	0.07	0.037	0.216	0.037	0.093	0.007	0.016	0.019	0.086	0.027	0.109	0.011	0.152	0.06	0.028	0.015	0.105	0.022	0.034	0.066
BX072566.1	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019
BX649567.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185	0	0	0	0	0.139	0	0
BYSL	1.941	1.269	3.908	1.581	1.032	2.349	2.388	2.262	1.069	0.772	0.941	1.129	1.582	4.819	3.117	3.117	4.095	5.662	0.994	1.609	1.184	0.924	1.636	0.626	1.132
BZRAP1	3.491	2.512	2.024	3.611	2.1	4.629	2.405	3.596	0.784	0.758	0.663	0.713	0.932	4.047	3.345	3.536	1.735	2.817	0.912	1.308	1.55	1.438	3.268	0.638	1.103
BZW1	131.168	86.955	208.023	128.653	98.686	147.649	178.162	170.744	102.827	84.646	109.685	142.346	116.95	311.644	195.195	278.932	253.894	368.155	103.632	119.012	94.261	96.042	134.885	70.908	93.138
BZW2	21.526	15.207	30.299	33.697	14.258	35.015	17.893	45.611	18.301	14.877	14.712	10.741	15.69	41.357	20.949	37.72	33.282	38.486	12.311	15.87	20.106	15.888	33.349	12.787	16.494
C10orf10	1.601	6.248	6.794	1.012	2.847	1.292	1.985	0.904	0.177	0.748	1.371	1.935	2.184	2.534	3.995	3.955	2.351	15.942	3.172	1.399	1.349	0.62	0.86	0.789	4.213
C10orf105	0.257	0.659	0.402	0.232	0.234	0.698	0.271	0.425	0.235	0.202	0.144	0.085	0.098	0.943	0.415	0.973	0.754	0.616	0.139	0.286	0.112	0.082	0.348	0.345	0.52
C10orf107	0.132	0.623	0.384	0.064	0.067	0.267	0.253	0.495	0.453	0.378	0.513	0.104	0.152	0.27	0.043	0.246	0.532	0.528	0.073	0.016	0.231	0.417	0.31	0.07	0.372
C10orf11	20.54	16.937	28.74	4.23	11.147	5.982	8.257	7.971	2.886	6.737	9.134	12.788	20.127	7.614	19.339	13.936	6.3	21.395	15.467	11.465	10.117	14.46	4.833	3.397	8.105
C10orf111	0.208	0.034	0.185	0.21	0.087	0.256	0.262	0.237	0.034	0.109	0.104	0.069	0.059	0.126	0.181	0.059	0.283	0.411	0.108	0.049	0.123	0.068	0.062	0.007	0.054
C10orf113	4.93	5.05	11.169	7.194	3.63	9.993	6.02	6.743	3.335	2.932	1.743	3.199	2.112	1.861	4.273	2.293	1.874	4.328	2.204	3.364	5.15	3.286	7.446	2.179	1.464
C10orf12	2.324	1.712	2.817	2.594	1.832	2.773	2.339	3.411	1.06	1.248	0.883	1.789	1.5	3.421	2.923	3.32	3.203	4.373	1.555	1.9	1.536	1.832	2.861	1.135	1.511
C10orf120	0	0	0	0	0	0	0	0.072	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0
C10orf126	0.041	0.007	0.047	0.016	0.02	0.009	0.045	0.095	0	0	0	0	0.03	0	0.037	0	0	0.087	0.053	0	0	0.036	0	0	0.009
C10orf128	13.326	6.84	19.307	18.79	7.727	21.498	12.296	17.197	11.459	14.453	10.093	7.527	3.543	11.863	8.767	29.49	9.223	11.841	7.936	7.307	12.568	6.083	8.312	7.535	11.341
C10orf131	0.553	1.068	0.746	0.918	0.605	0.468	0.604	2.281	0.195	0.678	0.306	0.354	0.74	0.227	1.061	0.746	0.331	1.581	0.482	0.175	0.218	0.14	0.145	0.249	0.432
C10orf2	2.325	1.212	2.897	2.136	1.056	2.559	1.699	3.613	0.912	1.064	0.869	0.991	0.951	5.784	2.191	3.688	4.133	6.735	0.997	1.333	1.378	0.886	1.251	1.062	1.455
C10orf25	0.238	0.2	0.294	0.339	0.331	0.319	0.166	0.505	0.079	0.096	0.152	0.097	0.199	0.218	0.421	0.248	0.219	0.335	0.279	0.207	0.146	0.157	0.216	0.076	0.097
C10orf32	13.684	11.177	21.907	15.495	10.667	19.393	16.539	26.533	8.579	7.983	9.791	5.881	3.669	22.156	16.571	21.761	28.681	27.796	7.784	8.106	9.853	6.784	7.049	6.179	9.313
C10orf32-ASMT	0.588	0.473	0.739	0.683	0.481	1.144	0.424	1.197	0.2	0.259	0.253	0.182	0.196	0.421	0.346	0.24	0.328	0.828	0.446	0.262	0.304	0.415	0.291	0.166	0.105
C10orf35	0.768	0.572	1.366	1.287	0.769	0.766	0.371	1.415	0.378	0.321	0.474	0.298	0.329	1.01	0.884	1.015	0.75	0.826	0.28	0.309	0.448	0.173	0.673	0.328	0.51
C10orf53	0.021	0.019	0.021	0.043	0.025	0.075	0.025	0.159	0.026	0	0	0.029	0.012	0.026	0	0.022	0.073	0	0.035	0.032	0.022	0.014	0.013	0.017	0.005
C10orf54	38.754	26.774	49.131	44.146	28.443	53.385	39.917	35.643	36.58	25.86	15.891	21.441	17.139	85.524	70.503	69.991	59.145	56.662	13.706	24.518	25.543	14.982	30.739	29.963	22.182
C10orf55	0.746	0.797	2.006	0.77	0.951	0.989	0.875	1.714	0.174	0.353	0.413	0.446	0.827	2.058	1.128	1.267	0.667	3.938	1.103	2.197	1.273	0.544	4.988	0.429	0.629
C10orf62	0.283	0.122	0.231	0.301	0.211	0.337	0.166	0.14	0.053	0.07	0.045	0.023	0	0.13	0.021	0.109	0.097	0.059	0.03	0.111	0.15	0.085	0.045	0.007	0.069
C10orf67	0.939	0.48	0.481	0.8	0.233	0.695	1.447	0.743	0.229	0.083	0.422	0.388	0.415	0.372	0.249	0.398	0.303	1.588	0.149	0.155	0.288	0.286	0.247	0.052	0.103
C10orf71	0.011	0.005	0.002	0.009	0.004	0.004	0.002	0.026	0.004	0	0.004	0	0	0.004	0.004	0.004	0.004	0	0.008	0.003	0	0	0	0	0
C10orf76	7.95	5.834	13.787	11.052	7.792	11.597	8.099	13.308	4.179	4.155	3.792	4.136	4.729	10.986	12.171	8.26	8.949	13.698	6.404	5.118	6.966	5.98	8.55	2.803	4.117
C10orf82	0.538	0.474	0.152	0.91	0.805	0.285	0.39	0.416	0.62	0.473	0.64	0.368	0.097	0.972	0.53	2.033	1.138	2.448	0.314	1.118	0.35	0.14	0.114	0.46	0.031
C10orf88	5.626	3.613	8.358	5.31	4.856	5.034	6	9.789	2.479	3.465	3.714	4.151	2.313	8.49	8.135	9.396	8.511	9.925	3.711	3.173	3.883	3.278	2.854	2.319	3.044
C10orf90	0.209	0.143	1.261	0	0.036	0.062	0.071	0.172	0.02	0.082	0.06	0.105	0.054	0.05	0.349	0.102	0.162	0.288	0.139	0.273	0.1	0.227	0	0.025	0.005
C10orf91	0.033	0.066	0.093	0.108	0.091	0.088	0.028	0.362	0.102	0.064	0.091	0.137	0.064	0.278	0.018	0.072	0.433	0.228	0.071	0.593	0.094	0.02	0.323	0.032	0.102
